epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.417,2.47413,4.08912,2.16258,0.00575,0.3,0.0731,0.02532,1.88868,3.90693,1.92146,0,0,0
2,34.439,2.53492,4.13742,2.11152,0.00571,0.3,0.07386,0.02974,1.89718,3.90541,1.91106,1.1e-05,1.1e-05,1.1e-05
3,39.684,2.89701,4.30722,2.2768,0.00541,0.3,0.08705,0.03718,1.91105,3.9165,1.90294,2.178e-05,2.178e-05,2.178e-05
4,48.2325,2.69008,4.20244,2.16304,0.00506,0.3,0.08937,0.03736,1.93544,3.93658,1.90545,3.23401e-05,3.23401e-05,3.23401e-05
5,54.2285,2.5305,4.15934,2.18876,0.00491,0.3,0.10259,0.04114,1.87676,3.95173,1.88475,4.26802e-05,4.26802e-05,4.26802e-05
6,59.6599,2.26315,4.10325,1.91317,0.00496,0.3,0.12323,0.04818,1.84119,3.9427,1.85219,5.28003e-05,5.28003e-05,5.28003e-05
7,65.4544,2.59387,4.07569,2.21445,0.00496,0.3,0.29874,0.08029,1.79224,3.93037,1.81005,6.27004e-05,6.27004e-05,6.27004e-05
8,71.1123,2.05418,3.92833,1.76839,0.00491,0.3,0.29873,0.12348,1.78522,3.92839,1.80774,7.23805e-05,7.23805e-05,7.23805e-05
9,76.6674,1.94495,3.78937,1.66743,0.00471,0.3,0.29869,0.1173,1.73573,3.91949,1.77192,8.18407e-05,8.18407e-05,8.18407e-05
10,81.6222,1.97714,3.95949,1.76875,0.00473,0.3,0.29869,0.13072,1.70218,3.89132,1.73884,9.10809e-05,9.10809e-05,9.10809e-05
11,87.1012,1.93025,3.77111,1.72534,0.00485,0.3,0.29874,0.12597,1.71017,3.88146,1.72229,0.000100101,0.000100101,0.000100101
