epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,84.2737,1.38352,1.84269,1.28812,0.84957,0.19195,0.25391,0.1579,1.64305,2.85658,1.48131,0.00023331,0.00023331,0.00023331
2,165.24,1.36579,1.71657,1.26886,0.81333,0.24314,0.25277,0.16483,1.64296,2.53587,1.47901,0.0004462,0.0004462,0.0004462
3,251.709,1.34281,1.62819,1.26457,0.85852,0.1898,0.25425,0.15455,1.70197,2.49864,1.53801,0.000626826,0.000626826,0.000626826
4,327.796,1.34539,1.61211,1.24518,0.78097,0.21961,0.22106,0.13421,1.75083,2.42589,1.5879,0.000775189,0.000775189,0.000775189
5,399.239,1.34981,1.6414,1.26049,0.34873,0.2923,0.2958,0.18172,1.59598,2.22905,1.47374,0.000817696,0.000817696,0.000817696
6,481.954,1.32724,1.90415,1.29217,0.24244,0.21789,0.27568,0.15367,1.63886,2.40089,1.483,0.00074437,0.00074437,0.00074437
7,550.616,1.39611,1.83544,1.30405,0.19606,0.33824,0.26192,0.15217,1.66763,2.38049,1.52486,0.000671044,0.000671044,0.000671044
8,623.286,1.28941,1.75629,1.25409,0.39321,0.2349,0.27527,0.16689,1.58202,2.41509,1.43968,0.000597718,0.000597718,0.000597718
9,696.602,1.2613,1.69028,1.25882,0.45245,0.27394,0.28499,0.17525,1.57726,2.25148,1.40307,0.000524392,0.000524392,0.000524392
10,763.9,1.28568,1.63808,1.25072,0.21487,0.37416,0.29921,0.18385,1.53176,2.27039,1.34541,0.000451066,0.000451066,0.000451066
11,831.192,1.22989,1.61425,1.23059,0.39838,0.30157,0.30085,0.18446,1.58274,2.31894,1.34692,0.00037774,0.00037774,0.00037774
12,907.385,1.22727,1.52602,1.20611,0.37728,0.38764,0.33232,0.20268,1.41243,2.12511,1.30918,0.000304414,0.000304414,0.000304414
13,976.78,1.21408,1.52111,1.20905,0.3956,0.44617,0.39126,0.23652,1.4115,2.06361,1.30612,0.000231088,0.000231088,0.000231088
14,1055.3,1.13825,1.44329,1.1774,0.4118,0.4416,0.38934,0.23319,1.51401,2.01726,1.33692,0.000157762,0.000157762,0.000157762
15,1124.98,1.21136,1.47038,1.188,0.42892,0.42417,0.4048,0.23678,1.53415,2.05888,1.34401,8.4436e-05,8.4436e-05,8.4436e-05
